sexe,age,csp,departement,weight
Homme,18-24,Cadre,75,0.0008467199999999998
Homme,18-24,Cadre,13,0.0006350399999999998
Homme,18-24,Cadre,33,0.0004233599999999999
Homme,18-24,Cadre,59,0.0005291999999999999
Homme,18-24,Cadre,69,0.0005291999999999999
Homme,18-24,Cadre,autres,0.007620479999999998
Homme,18-24,Employe,75,0.0015052799999999995
Homme,18-24,Employe,13,0.0011289599999999996
Homme,18-24,Employe,33,0.0007526399999999997
Homme,18-24,Employe,59,0.0009407999999999998
Homme,18-24,Employe,69,0.0009407999999999998
Homme,18-24,Employe,autres,0.013547519999999995
Homme,18-24,Ouvrier,75,0.0009407999999999998
Homme,18-24,Ouvrier,13,0.0007055999999999998
Homme,18-24,Ouvrier,33,0.0004703999999999999
Homme,18-24,Ouvrier,59,0.0005879999999999999
Homme,18-24,Ouvrier,69,0.0005879999999999999
Homme,18-24,Ouvrier,autres,0.008467199999999998
Homme,18-24,Retraite,75,0.0014111999999999998
Homme,18-24,Retraite,13,0.0010583999999999997
Homme,18-24,Retraite,33,0.0007055999999999999
Homme,18-24,Retraite,59,0.0008819999999999998
Homme,18-24,Retraite,69,0.0008819999999999998
Homme,18-24,Retraite,autres,0.012700799999999996
Homme,25-34,Cadre,75,0.0011289599999999998
Homme,25-34,Cadre,13,0.0008467199999999997
Homme,25-34,Cadre,33,0.0005644799999999999
Homme,25-34,Cadre,59,0.0007055999999999999
Homme,25-34,Cadre,69,0.0007055999999999999
Homme,25-34,Cadre,autres,0.010160639999999997
Homme,25-34,Employe,75,0.0020070399999999994
Homme,25-34,Employe,13,0.0015052799999999995
Homme,25-34,Employe,33,0.0010035199999999997
Homme,25-34,Employe,59,0.0012544
Homme,25-34,Employe,69,0.0012544
Homme,25-34,Employe,autres,0.018063359999999994
Homme,25-34,Ouvrier,75,0.0012543999999999997
Homme,25-34,Ouvrier,13,0.0009407999999999997
Homme,25-34,Ouvrier,33,0.0006271999999999998
Homme,25-34,Ouvrier,59,0.0007839999999999998
Homme,25-34,Ouvrier,69,0.0007839999999999998
Homme,25-34,Ouvrier,autres,0.011289599999999997
Homme,25-34,Retraite,75,0.0018815999999999995
Homme,25-34,Retraite,13,0.0014111999999999996
Homme,25-34,Retraite,33,0.0009407999999999998
Homme,25-34,Retraite,59,0.0011759999999999997
Homme,25-34,Retraite,69,0.0011759999999999997
